Date,Open,High,Low,Close,Adj Close,Volume,ds,trend,yearly,weekly,LR_KMeans_Prediction,Random_Forest_Prediction,Residual_Cluster,Prophet_Forecast
2010-11-11,5.72,5.82,5.466,5.608,5.608,9726500,2010-11-11,3.4970803402264092,17.451453541626645,-0.7764225259010056,6.335842539203149,5.836255294548141,0,20.172111355952048
2010-11-12,5.65,6.1,5.614,5.968,5.968,13645500,2010-11-12,3.5054755016251455,17.541989696514687,-1.5915505664930845,5.6400692858149695,5.707934998850033,0,19.45591463164675
2010-11-15,6.044,6.588,6.044,6.16,6.16,13114500,2010-11-15,3.530660985821354,17.965968508088352,0.09055894212130572,6.862584983859156,5.994999015967368,0,21.58718843603101
2010-11-16,6.2,6.28,5.684,5.934,5.934,6738000,2010-11-16,3.5390561472200903,18.164881843937504,-0.14411885724389675,6.922184034242499,6.084484595767075,0,21.5598191339137
2010-11-17,6.04,6.15,5.722,5.898,5.898,3750000,2010-11-17,3.5474513086188266,18.3911493336121,0.007037805282906594,6.80616451053786,5.953478859896616,0,21.94563844751383
2010-11-18,6.134,6.148,5.784,5.978,5.978,4780500,2010-11-18,3.5558464700175625,18.641075160186986,-0.7764225259017277,6.389583880742855,5.917896607923436,0,21.420499104302824
2010-11-19,6.032,6.274,5.94,6.198,6.198,5752500,2010-11-19,3.564241631416299,18.909242078484937,-1.5915505664918446,6.038363153530863,6.045112191552075,0,20.88193314340939
2010-11-22,6.314,6.69,6.3,6.68,6.68,7648500,2010-11-22,3.589427115612508,19.747745063738893,0.09055894212225216,7.131537481825114,6.312159511093693,0,23.427731121473656
2010-11-23,6.658,7.136,6.438,6.914,6.914,7889000,2010-11-23,3.5978222770112445,20.00831276464537,-0.14411885724533238,7.469613869981921,6.710248812249975,0,23.462016184411286
2010-11-24,7.054,7.194,6.866,7.094,7.094,7125000,2010-11-24,3.6062174384099808,20.242882178104672,0.007037805280881785,7.766317909781767,6.9170458969554796,0,23.856137421795534
2010-11-26,7.12,7.2,6.95,7.064,7.064,1753000,2010-11-26,3.623007761207453,20.594542467975614,-1.5915505664939786,7.159882358364222,6.922719373047484,0,22.62599966268909
2010-11-29,7.082,7.19,6.666,6.866,6.866,5728000,2010-11-29,3.6481932454036614,20.700603630480586,0.09055894212081474,7.988823596993562,6.908471365106274,0,24.439355818005062
2010-11-30,6.748,7.066,6.682,7.066,7.066,11113000,2010-11-30,3.6565884068023977,20.598786690498216,-0.1441188572467679,7.6889327846193005,6.8627603664475965,0,24.111256240053848
2010-12-01,7.174,7.284,6.69,6.87,6.87,6496000,2010-12-01,3.664983568201134,20.42327761345473,0.00703780528318419,7.958150632447987,6.921490654948878,0,24.09529898693905
2010-12-02,6.802,6.86,6.24,6.47,6.47,10035000,2010-12-02,3.6733787295998703,20.174220559552722,-0.7764225259016966,7.3459495123214555,6.80680742219611,0,23.071176763250897
2010-12-03,6.402,6.45,6.174,6.298,6.298,5800500,2010-12-03,3.6817738909986066,19.854077163089094,-1.5915505664927392,6.540031524142474,6.395290186368829,0,21.944300487594962
2010-12-06,6.27,6.29,5.912,6.062,6.062,6372000,2010-12-06,3.7069593751948156,18.52678145054325,0.09055894212176102,7.182273346203388,6.331172963244925,0,22.324299767859827
2010-12-07,6.098,6.48,6.01,6.312,6.312,6556500,2010-12-07,3.715354536593552,17.993046613376684,-0.14411885724457052,6.820798730899525,6.1207540284734065,0,21.564282292725668
2010-12-08,6.496,6.498,6.304,6.474,6.474,3300000,2010-12-08,3.7237496979922877,17.43408845568618,0.007037805280168044,7.129475179442045,6.360149016943556,0,21.164875958958632
2010-12-09,6.502,6.544,6.33,6.41,6.41,2030000,2010-12-09,3.732144859391024,16.864573821317506,-0.7764225259024184,6.850899187950869,6.369970363897238,0,19.820296154806112
2010-12-10,6.41,6.584,6.226,6.304,6.304,2147000,2010-12-10,3.7405400207897603,16.300302505120236,-1.5915505664918137,6.36779955970424,6.367594744602185,0,18.449291959418183
2010-12-13,6.328,6.354,6.08,6.11,6.11,2052000,2010-12-13,3.7657255049859693,14.805333947829482,0.09055894212278748,7.087065475665274,6.330097630752132,0,18.661618394938237
2010-12-14,6.058,6.078,5.552,5.706,5.706,8828500,2010-12-14,3.7741206663847056,14.428108419863957,-0.14411885724600604,6.78245529080708,5.98991367764367,0,18.058110229002658
2010-12-15,5.734,5.994,5.706,5.92,5.92,3714500,2010-12-15,3.782515827783442,14.137249138486682,0.007037805281479313,6.471328721845652,5.714756736025001,0,17.926802771551603
2010-12-16,6.0,6.182,5.93,6.162,6.162,3950500,2010-12-16,3.790910989182178,13.946251094680468,-0.7764225259031403,6.276440499100513,5.932532188315515,0,16.960739557959506
2010-12-17,6.268,6.308,6.142,6.272,6.272,4065000,2010-12-17,3.799306150580915,13.866694629472546,-1.5915505664905745,6.076780750944123,6.20794873246403,0,16.07445021356289
2010-12-20,6.328,6.438,6.252,6.34,6.34,2617000,2010-12-20,3.8244916347771234,14.376469155488754,0.09055894212135017,7.041898586287092,6.316768229318302,0,18.29151973238723
2010-12-21,6.36,6.538,6.342,6.452,6.452,3888500,2010-12-21,3.8328867961758593,14.808587563778755,-0.14411885724380866,6.998486485946718,6.3559021118258885,0,18.497355502710803
2010-12-22,6.45,6.572,6.34,6.526,6.526,4166500,2010-12-22,3.8412819575745956,15.370597277689514,0.0070378052806265926,7.209864656938356,6.374451284753297,0,19.218917040544735
2010-12-23,6.252,6.496,5.984,6.018,6.018,7763000,2010-12-23,3.849677118973332,16.057081791030182,-0.7764225259023873,6.921367959038503,6.357545428591461,0,19.130336384101128
2010-12-27,5.604,5.716,5.012,5.11,5.11,46509500,2010-12-27,3.883257764568277,19.835116118030836,0.09055894211991275,6.958405197418415,5.50019481579537,0,23.808932824719026
2010-12-28,5.17,5.35,5.0,5.282,5.282,20281500,2010-12-28,3.8916529259670134,20.96147109720943,-0.14411885724665854,5.994456052555502,5.225634389135118,0,24.70900516592978
2010-12-29,5.406,5.602,5.3,5.546,5.546,16596000,2010-12-29,3.9000480873657493,22.12270957406806,0.007037805282929063,6.2774571808386055,5.366547630020947,0,26.02979546671674
2010-12-30,5.54,5.58,5.276,5.3,5.3,10205500,2010-12-30,3.9084432487644856,23.297372622120047,-0.7764225259017343,6.142883225545744,5.476192058802707,0,26.429393344982795
2010-12-31,5.314,5.45,5.3,5.326,5.326,7089500,2010-12-31,3.916838410163222,24.463325040792753,-1.5915505664914689,5.505748041399491,5.317082676378928,0,26.788612884464506
2011-01-03,5.368,5.4,5.18,5.324,5.324,6415000,2011-01-03,3.942023894359431,27.688426434097536,0.09055894212332304,6.452148255439175,5.317458644804519,0,31.721009270580293
2011-01-04,5.332,5.39,5.204,5.334,5.334,5937000,2011-01-04,3.950419055758167,28.602996984635343,-0.14411885724557047,6.3681710921981045,5.333027181207865,0,32.409297183147935
2011-01-05,5.296,5.38,5.238,5.366,5.366,7233500,2011-01-05,3.9588142171569034,29.4062883870133,0.0070378052842401985,6.509000358574576,5.334169277443279,0,33.372140409454445
2011-01-06,5.366,5.6,5.362,5.576,5.576,10306000,2011-01-06,3.9672093785556397,30.082857023570096,-0.7764225259038313,6.151890196286745,5.4067239297178205,0,33.273643876221904
2011-01-07,5.6,5.716,5.58,5.648,5.648,11239500,2011-01-07,3.975604539954376,30.61992037295666,-1.5915505664936027,5.951425475719073,5.51252247878416,0,33.00397434641743
2011-01-10,5.634,5.736,5.61,5.69,5.69,6713500,2011-01-10,4.000790024150585,31.31188414658643,0.09055894211950177,6.890385071765243,5.487088897856642,0,35.40323311285651
2011-01-11,5.718,5.742,5.384,5.392,5.392,8551000,2011-01-11,4.00918518554932,31.225108646904275,-0.1441188572444823,6.813730553554795,5.472138687873018,0,35.09017497520911
2011-01-12,5.402,5.48,5.304,5.392,5.392,4822000,2011-01-12,4.017580346948057,30.982483802498162,0.007037805281224021,6.59540694002679,5.3975991100863085,0,35.00710195472744
2011-01-13,5.392,5.394,5.232,5.244,5.244,3618000,2011-01-13,4.025975508346793,30.59062494021989,-0.7764225259045531,6.203640270313838,5.398542803296979,0,33.84017792266212
2011-01-14,5.23,5.316,5.122,5.15,5.15,5960000,2011-01-14,4.034370669745529,30.059166356322937,-1.5915505664951082,5.6288020822607505,5.232486486055649,0,32.50198645957336
2011-01-18,5.096,5.128,4.95,5.128,5.128,8108500,2011-01-18,4.0679513153404745,26.818078137034927,-0.14411885724339432,6.182719309301,5.197012402191769,0,30.741910595132005
2011-01-19,5.054,5.094,4.75,4.806,4.806,11857500,2011-01-19,4.076346476739211,25.815498473885217,0.0070378052835265255,6.201922929409903,5.110100619496228,0,29.898882755907955
2011-01-20,4.806,4.89,4.474,4.524,4.524,11399500,2011-01-20,4.084741638137947,24.77446573445367,-0.7764225259038002,5.464322216007131,4.784923547181012,0,28.082784846687822
2011-01-21,4.624,4.718,4.542,4.608,4.608,6085000,2011-01-21,4.093136799536683,23.714704470809213,-1.5915505664941827,4.765544798015887,4.659004948755889,0,26.216290703851712
2011-01-24,4.706,4.962,4.646,4.898,4.898,8225500,2011-01-24,4.118322283732892,20.608839910996,0.09055894212155491,5.613028150678961,4.738910393403381,0,24.81772113685045
2011-01-25,4.93,4.978,4.804,4.936,4.936,6357500,2011-01-25,4.126717445131629,19.652752552504307,-0.14411885724624407,5.7476393139799535,4.822989440268236,0,23.635351140389695
2011-01-26,4.942,4.976,4.82,4.95,4.95,5399500,2011-01-26,4.135112606530365,18.7585392963337,0.0070378052826739704,5.828544350303044,4.905623778514947,0,22.900689708146736
2011-01-27,4.948,5.016,4.906,4.984,4.984,4478500,2011-01-27,4.143507767929101,17.935779669201384,-0.7764225259058971,5.427032903695123,4.916928340456401,0,21.30286491122459
2011-01-28,4.976,4.976,4.75,4.802,4.802,5242000,2011-01-28,4.1519029293278376,17.191174111841445,-1.5915505664929432,5.042710083643167,4.903926659868696,0,19.75152647467634
2011-01-31,4.81,4.824,4.7,4.82,4.82,4151500,2011-01-31,4.177088413524046,15.447573032489737,0.09055894212250122,5.683669926989408,4.812852470566848,0,19.715220388136288
2011-02-01,4.862,4.946,4.708,4.782,4.782,3539000,2011-02-01,4.185483574922782,15.021590867751954,-0.1441188572451561,5.57590258089068,4.774145030450234,0,19.062955585429577
2011-02-02,4.832,4.836,4.734,4.788,4.788,2847500,2011-02-02,4.193878736321518,14.661854981075713,0.007037805281821449,5.592671535059947,4.770163614871517,0,18.86277152267905
2011-02-03,4.764,4.78,4.63,4.726,4.726,2560000,2011-02-03,4.2022738977202545,14.357635533606736,-0.7764225259010191,5.197113546322471,4.758092641697927,0,17.78348690542597
2011-02-04,4.688,4.734,4.644,4.692,4.692,2720000,2011-02-04,4.210669059118991,14.096030362551364,-1.5915505664950773,4.7139843940810895,4.733335882211896,0,16.715148855175276
2011-02-07,4.652,4.652,4.576,4.614,4.614,4475500,2011-02-07,4.2358545433152,13.413893576257873,0.0905589421210638,5.51272071770112,4.694835737866494,0,17.740307061694136
